message,rpid_str,parent,ctime,like,mid,sex
合着美国占领阿富汗一边扰乱新疆一边卡着中国进入中东的通道是好的啊[呲牙]果然是什么立场就说什么话，公知二狗子演都不演了。特朗普把这群人的钱断了就对了。什么水平啊。,202014955616,0,1704552681,3,19243728,男
事实上，美军武装了三十万部队。但是这些人打不过几万的轻步兵阿富汗。,194066007808,0,1699766843,3,97126609,保密
这么说吧，无论哪边胜利，对阿富汗老百姓来说都不是好事，一个是被殖民，一个是疯狂的宗教模式。,193542086912,0,1699446653,5,1919991316,保密
塔利班现在并不是极端宗教模式，跟接近义和团运动模式,193772139856,193542086912,1699594633,4,1472659093,男
回复 @林登小兵 :本来美军在的时候，女性还可以读书工作从政，现在，呵呵。又回到了古代。,194075906400,193772139856,1699771366,3,1919991316,保密
"回复 @华夏四大美人 :女性：指官僚贵族的女儿[吃瓜]。
你让我想起了知乎问题：古代女性有丫鬟服侍，现代没有，是否说明现代女性地位下降了？
什么，丫鬟？那不就是会说话的牛马吗，怎么配和高贵的“女性”相提并论[吃瓜]",194082430864,194075906400,1699774468,17,1472659093,男
回复 @华夏四大美人 :美国在的时候阿富汗是世界毒窝，现在塔利班直接消灭了境内95%的罂粟种植田。谁更强,194157972800,194075906400,1699805063,8,379381049,男
回复 @此站与微博本质上一样 :关注女性地位固然没错，但更值得关注的不应该是国家主权和尊严的收回吗？一个国家的利益完全为另外一个国家的利益让步？这样的国家有未来吗？美国来这里发起战乱种植制造毒品，请问，连食物和安全都得不到保证的时候，你所谓的地位有什么用？等国家发展到伊朗这步的时候我感觉就可以争取了！,194173264864,194075906400,1699817962,6,598770007,保密
回复 @此站与微博本质上一样 :虽然女性从政目前看来是不可能，但是工作读书关注的好几个在阿富汗工作和生活的博主，他们分享的日常视频中，就有女性，而且还有个专门的女生学校，也是经历了关关开开的命令（疑似是因为塔利班内部斗争总是反复横跳）现在好像已经正常继续办学了。,194428255984,194075906400,1699976973,2,21579832,保密
"回复 @此站与微博本质上一样 :赫赫，不如天兵种的鸦片。
你怎么不和x上那样放个民国大小姐和新中国穿灰色棉袄那样对比呢[笑哭]",195860932784,194075906400,1700887863,4,3537111506487572,保密
回复 @旌溪 :这其实不完全是美国的责任，世界上任何一个国家一旦陷入内乱，黄赌毒这些灰色产业都会蓬勃发展,197265000560,194157972800,1701766352,0,272825338,保密
回复 @北国悠悠 :但是美军占领阿富汗又没有好好管，天天对着阿富汗山区扔炸药，还默许阿富汗政府种鸦片养政府。那么你看现在塔利班把毒品的问题解决，还找中国协商经济建设建设。你看谁有能力管理阿富汗,197336481088,197265000560,1701798353,4,379381049,男
回复 @旌溪 :确实，美国承担主要责任，就像缅北诈骗也是这样的，也是因为北方地区军阀割据才导致这样的情况，一旦国家统一必然大力打击灰色产业,197495421264,197336481088,1701914376,0,272825338,保密
