message,rpid_str,parent,ctime,like,mid,sex
内塔尼亚胡：联合国=哈马斯，开战！！！！！！[滑稽],208364354624,0,1708083693,9,472623132,男
事实证明美俄都是有起码道德的,207900209168,0,1707829617,2,10651725,男
你在想屁吃[吃瓜]不过是现在反以色列的声势太高，支持以色列的又都支持懂王，所以换个边罢了[吃瓜],207906491888,207900209168,1707831964,8,12838343,男
美国真没有，大帝嘛，有点但不多。,207910913328,207900209168,1707833654,5,416114459,保密
美帝是真的没有，我的同胞！不要被台独当局洗脑了，没事多看看B站！,207911610400,207900209168,1707833886,2,496906145,保密
印第安人:啊对对对，你人道,207911822000,207900209168,1707833956,7,15793455,保密
美都霸权了还有哪门子的道德，现在只是战力不够三线开战，旁边还有我国压轴，他根本不敢全面开打而已，这要是放到 30 年前战力碾压的时候，伊朗伊拉克早被洗地几遍了，从南斯拉夫大使馆被炸开始，就不用相信美国有什么道德了，能完全站到中国的对立面能是啥好东西？,207933589072,207900209168,1707842660,8,22128670,男
光伊拉克一个地为了偷油就炸S几十万，就这样的货有起码道德？美加澳的地都怎么来的知道吗？这次它是知道自己下场必死所以表面装一下，但凡是30年前它跟你装？岛内之所以对鹰有点幻想说白了是看不懂“为什么那帮货全球在抢唯独在亚洲要砸钱扶持几个小弟”（只要看看历史上它们在哪被弄过就能明白）再等等吧，这波把这帮披着文明外衣的牲弄了，岛的问题自然就解了,208006430720,207900209168,1707894511,6,3493109625260349,保密
台湾同胞吗，以色列为什么敢如此？,208008097264,207900209168,1707895303,1,1690167596,保密
回复 @所以我才讨厌起名字 :懂王还是很支持以色列的，前面还在公开声明拜登支持的不够彻底[吃瓜],208040991648,207976682736,1707909132,0,12838343,男
印第安人不服,208092605968,207900209168,1707928981,0,1924806415,保密
宝岛人啊，那没事了[doge],208131816464,207900209168,1707966353,0,18992259,保密
"为了减少伤亡，哈马斯学日本投降吧？因为哈马斯反对两国方案，跟全世界唱反调，“联合国、阿拉伯国家、中国、俄罗斯、欧盟等纷纷呼吁巴以双方尽快停火止战，重回‘两国方案’谈判，实现和平共处。”/来源：央视新闻客户端，而“哈马斯领导人哈利德·迈沙阿勒表示：‘我们拒绝‘两国方案’的设想，我们的目标很清晰，一个从约旦河到地中海的巴勒斯坦国。’”/思想大视界2024-01-24.10:43。
所以，以色列要参照美国管理日本模式管理加沙？“新华社耶路撒冷1月18日电 以色列总理内塔尼亚胡……当晚在特拉维夫举行的记者会上说，以色列在加沙地带的军事行动将继续，直至实现所有目标，即被扣押的以色列人获释、消灭巴勒斯坦伊斯兰抵抗运动（哈马斯）并确保加沙地带不再对以色列构成威胁。战后，加沙地带必须实行非军事化，并置于以色列的全面安全控制之下。”/新华社2024-01-19.08:57",207865357152,0,1707815740,10,3493284733258501,保密
新加沙由以色列进行军事管理？聘请日本做行政、经济顾问，将加沙建设成日本那样的发达国家？(中国演绎学日本修高铁、建商品房？),207865475472,207865357152,1707815781,4,3493284733258501,保密
什么乱七八糟的，哈马斯可是接受两国方案的，以色列要是接受的话就得把几十年蚕食的领土吐出来！,207926756064,207865357152,1707839581,16,430267287,保密
看了你的主页，我悟了[doge]这个世界如果只有一个政治实体反对两国方案，那肯定是犹太复国主义了[星星眼],207943296336,207865357152,1707849314,8,346465936,保密
ip地址都没有，在这狗叫个毛,207981510704,207865357152,1707883638,5,3546584704879295,保密
你[奥比岛_点赞]☀的是间谍吧,207991464112,207865357152,1707887688,5,14843344,保密
明显的1450，举报了你个苟太阳的,208136329104,207865357152,1707968310,1,339800183,男
回复 @抨击你 :不动这个手，让大家看一下间谍小丑[妙啊],208160130368,208136329104,1707978589,0,286242790,保密
回复 @你的曾曾曾大大 :其实我很想知道他是怎么把自己的IP地址弄成未知的。,208161571792,208160130368,1707979268,0,290386036,男
回复 @奇妙的审河 :旧版B站[吃瓜],208162476128,208161571792,1707979668,0,286242790,保密
回复 @乌洛克来也 :看到大家都知道他是个什么东西，我就放心了[呲牙][打call],208172177392,207991464112,1707984238,0,15873477,保密
