message,rpid_str,parent,ctime,like,mid,sex
有没有想过被侵略的阿富汗人的感受,98887835760,0,1642426140,10,1399932436,男
封面我记得不是阿富汗，不是车臣就是中亚斯坦,97330939104,0,1641198516,1,48059334,男
1999年达吉斯坦战争,123227598400,97330939104,1659159490,0,241763317,男
"牢不可破的联盟
但是现在是1992年 你是无家可归的苏联老兵 在桥洞下慢慢睡着 手里紧握着勋章",96120581856,0,1640245529,116,42550954,男
早晨醒来发现勋章被偷了,96161683696,96120581856,1640269412,16,1779713531,女
回复 @量子少年-塔山之梦 :更糟 没再醒来,96162366560,96161683696,1640269840,24,42550954,男
回复 @零号俱乐部杨经理 :最好，你在卫国战争中就死了，不用活到1991,96352535232,96162366560,1640423475,5,336228410,男
回复 @零号俱乐部杨经理 :在睡梦中死去，逃脱这悲哀的现实...,97089797664,96162366560,1641016032,8,1007906966,保密
回复 @八万斤哒 :挺好的,97090294704,97089797664,1641016315,1,42550954,男
哈哈 但是明年你会被叶利钦的部队打死,122112448368,96120581856,1658552860,0,474954941,男
