message,rpid_str,parent,ctime,like,mid,sex
用爷爷刀鲨孙子 用朝廷部议先打阿里衮一棍子再宽免给一颗枣 乾隆手段可以的 能把人恶心死[doge],206537195776,0,1707123549,0,365421597,保密
征缅战争让大清朝廷损失了百年精锐和统兵将领！,206393236384,0,1707046427,1,349012133,男
很多人扯来扯去，其实清朝征缅之战的失败，就是缅甸人充分利用天时地利人和，巧妙地发挥了自己的长处，克制了清军的长处因而取得了胜利。一个小国能打成这样实在是难能可贵了。,206322187728,0,1707018093,14,40413707,保密
就是乾隆自己轻敌啊。耽误一堆时机。前几次轻敌，被地方督抚谎报军情。终于发现问题了，重视了，做了一堆准备，但是又不考虑到东南亚气候啥的。光想着打，为了出口气。最好的办法还是当地训练士兵，慢慢磨，蚕食缅甸领土，抓住机会和泰国合作。索伦人，健锐营战斗力可以，但是适应不了气候,206355491104,206322187728,1707031762,5,262112471,保密
回复 @CKOULK :这几年乾隆吹特别多啊，这几仗损兵耗费无数财富不说了，死了那么多大员大将也没打赢缅甸，竟然还被吹成胜利了,206370213376,206355491104,1707038083,1,40413707,保密
"回复 @CKOULK :北方士兵到南方热带打仗水土不服
南方气候炎热毒虫多          云南广西这些地方的人明显更能适应
别说那是清时期    就是越南战争那时候也得遵循这条",206518134192,206355491104,1707115665,0,291287563,保密
回复 @CKOULK :泰国已经给缅甸吞并了，不是清缅战争让缅军主力从泰国抽身，泰国也没那么容易复国（这跟对越自卫反击战柬埔寨复国是同一个道理）,206625033936,206355491104,1707156965,1,3546621566519826,保密
回复 @轩辕子语 :首先你说因为瘴气损失几个将确实，还有因为被队友卖了的明瑞等人，但是钱真的差远了。打缅甸几百万，打大小金川7000万，知道花钱差距了吧。乾隆真下定决心打，那就按大小金川砸，砸都把缅甸砸倒。还有最后一次清朝确实算胜，因为精锐出动野战确实打赢了缅甸，缅甸只能守城，前几次让绿营打，确实打的不好。最后一次让缅甸意识到清朝还是能打的，就想和了。乾隆后续也没下定决心打了，或者采用其他战略了。这仗缅甸也是大输家，丢了泰国，打断上升期，失去成为霸主的机会。,206668165888,206370213376,1707192252,0,262112471,保密
回复 @六合奸雄皆鹰扬 :就是这样，我的意思就是如果乾隆真能下定决心打，这一次之后不讲和，在云南训练兵，云南当地能适应那种气候，然后每年派兵烧缅甸村庄和田地，蚕食缅甸，泰国慢慢复国，联合郑信，找到机会一起端了缅甸。,206668433088,206625033936,1707192363,1,262112471,保密
回复 @冬ma :是的，就应该在云南训练兵，每年派兵烧缅甸村庄和田地，时不时打一下，缅甸知道清朝精锐野战厉害，也不敢大规模出击，毕竟还有个泰国。慢慢蚕食，等到合适机会，联合郑信一起。    乾隆这一次以后就没啥决心了。阿桂还想打，乾隆不想打了。  东北和健锐营精锐在厉害，适应不了气候也没办法，专业的事还得专业的人。派个好总督管云南，练兵就行。,206668913344,206518134192,1707192537,0,262112471,保密
"回复 @CKOULK :乾隆哪来的那种耐心       他就是喜欢派精锐到处打打打      简单粗暴的一路平推
要他从零就地练兵玩合纵连横那套他搞不来      那是秦国的传统艺能了",206671100960,206668913344,1707193324,0,291287563,保密
回复 @冬ma :归根到底还是乾隆不重视东南亚。你从他后续打越南都能看出来，根本不上心，越南黎家求助，乾隆派孙士毅带些绿营就去了，都没给多少钱，孙士毅也确实给力轻松拿下越南首都，不过孙士毅膨胀了，在那庆祝，结果阮惠突袭了一波，孙士毅那边直接指挥乱了，带的人本来就不多，还主要是绿营，结果就被拿下一堆。乾隆知道这个事，派福康安去看一下，了解了基本情况，阮惠说愿意赔罪，给个机会。乾隆听了一下就同意了，说了一些条件，阮惠来给他下跪祝寿，祭拜清朝阵亡士兵，继续当附属朝贡国这种。阮惠立马同意，也做了。然后乾隆就放弃黎家了。在他眼里，东南亚这块和西北西南比，不重要。西北西南打仗花钱都是上千万，东南亚百万。,206681797296,206671100960,1707197138,0,262112471,保密
回复 @冬ma :打越南连精锐都没派，阿桂那几个人都没去。他真能拿出重视西北西南那样重视东南亚，缅甸，越南这两场真的稳赢的。尤其越南那场。,206682054384,206671100960,1707197247,0,262112471,保密
