main_post_id,if_comment_id,if_reply_root_id,type,content,post_time,likes,user_id
5007262249389918,,,content,借图举例，AI太实用了，GPT4的超级算力，在国内也可轻松使用！[玫瑰][玫瑰][玫瑰]关注公众号即可使用,1709221380,0,1645338442
5007260244509666,,,content,借图举例，AI太实用了，GPT4的超级算力，在国内也可轻松使用！[玫瑰][玫瑰][玫瑰]关注公众号即可使用 ,1709220900,0,1645338442
5007235832615089,,,content,gpt4我求你自学会实证分析吧,1709215080,0,5986722520
5007235832615089,5008883338182959.0,,comment,🙏,1709694310,0,6320638037
5007234268401684,,,content,在如此多的大模型中，感觉还是ChatGPT最🐂，不仅是GPT4，GPT3.5也比一些新进出来的大模型要强很多。 ,1709214720,1,6484441286
5007228937966012,,,content,把这个结果喂给了GPT4，让GPT4帮我总结人话，得出：这是一种微晶玻璃,1709213460,0,6605260223
5007228489177642,,,content,GPT4的表现也确实达不到AGI的水平但我支持马一龙,1709213340,2,1495476261
5007228489177642,5007276374493629.0,,comment,马院士的捧杀起诉法[偷乐],1709311181,0,1233486457
5007227943916753,,,content,回复:我把博主的结果喂给GPT4了，他说是微晶玻璃//:回复:,1709213220,0,6605260223
5007219060115003,,,content,自从有了gpt4，我真的变懒了😴 ,1709211060,1,5528955416
5007219060115003,5008015763441170.0,,comment,有需要gpt4插件的吗，私，3小时50次用完后可以无线续问答次数(但也别一个账号很多人共享，极容易被封),1709487465,0,6295051307
5007210650011807,,,content,找搭子，稳定不封～ ,1709209080,1,7750186182
5007210650011807,5010778243728311.0,,comment,还缺人吗,1710146092,1,7676166287
5007210650011807,5011157888797879.0,5010778243728311.0,comment_reply,嗯啊 ➕ Amakusakiko1,1710236606,0,7750186182
5007210650011807,5010683164624161.0,,comment,还缺人吗,1710123423,0,7620160600
5007210650011807,5011158109259903.0,5010683164624161.0,comment_reply,嗯啊 ➕ Amakusakiko1[害羞],1710236659,0,7750186182
5007210650011807,5008151665706000.0,,comment,姐妹人齐了吗,1709519867,0,5633498947
5007210650011807,5008226817676250.0,5008151665706000.0,comment_reply,没 加我,1709537784,0,7750186182
5007210650011807,5007485328950916.0,,comment,多少一个月,1709361000,0,5643019890
5007210650011807,5007218025956657.0,,comment,1111,1709297270,0,2245318215
5007198565960928,,,content,还是被gpt4给征服了，非常提效。 ,1709206200,0,2676545213
5007198565960928,5008015717826860.0,,comment,有需要gpt4插件的吗，私，3小时50次用完后可以无线续问答次数(但也别一个账号很多人共享，极容易被封),1709487454,0,6295051307
5007198565960928,5008532984040938.0,5008015717826860.0,comment_reply,不用了,1709610780,0,2676545213
5007196464617299,,,content,问了学校观鸟社团里有经验的学长，他说像文鸟幼鸟，嘴巴也是这样比较宽大的//:刚刚用了edge+gpt4，我拍的鸟好像是这种鸟的亚成鸟（就是鳥的青少年階段）//:这个喙看着像吃坚果的，什么什么雀，可能？,1709205720,2,6764483366
5007196464617299,5007198399500256.0,,comment,欸謝謝,1709292590,0,5804819550
5007196464617299,5007205455631611.0,5007198399500256.0,comment_reply,不客气´∀`,1709294273,1,6764483366
5007196280589997,,,content,看图难看图累，1min吃透图表！阅读学术文献时遇到难以理解的图表是一个常见问题。图表是数据可视化的重要工具，它们通过图形化方式展示复杂的数据集，帮助读者快速捕捉关键信息。所以图表也是阅读文献时不可忽视的一部分！针对文献中的图片看不懂之一大问题，MedPeer科学对话中的识图对话工具 看图难看图累，1min吃透图表！阅读学术文献时遇到难以理解的图表是一个常见问题。图表是数据可视化的重要工具，它们通过图形化方式展示复杂的数据集，帮助读者快速捕捉关键信息。所以图表也是阅读文献时不可忽视的一部分！针对文献中的图片看不懂之一大问题，MedPeer科学对话中的识图对话工具，看懂各种SCI论文图，简直是易如反掌。识图对话使用先进GPT-4Vision模型，可以解析用户上传的图像，快速帮你把图片看得明明白白，分析得透透彻彻。,1709205660,0,7006320996
5007157621687032,,,content,队友去问了gpt4，gpt4也不会做的。（也的意思是，我也不会做。）,1709196420,0,1495854621
5007128517938728,,,content,Gpt4找我 好 免🪜 ,1709189520,1,6462624382
5007116857248356,,,content,有了gpt4之后我真的想说我还能有工作多亏了人工智能没有普遍推广 ,1709186700,0,6499376877
5007086980698254,,,content,At the very edge of having a mental breakdown it was GPT4 that saved me from despair ,1709179620,3,6309110767
5007086980698254,5007087121989944.0,,comment,呵呵早定早享受…,1709266059,0,6309110767
